YearMonth,High,Average,Low
192802,33,25,16
192803,43,33,23
192804,52,41,31
192805,72,59,46
192806,73,62,52
192807,82,71,61
192808,81,70,59
192809,70,58,46
192810,61,52,42
192811,43,37,30
192812,34,26,19
192901,18,6,-6
192902,22,12,1
192903,46,36,26
192904,58,48,38
192905,66,54,42
192906,75,64,52
192907,83,72,60
192908,80,68,56
192909,72,60,49
192910,58,48,39
192911,39,31,22
192912,30,23,16
193001,20,11,1
193002,38,29,20
193003,42,33,23
193004,59,47,35
193005,69,58,47
193006,78,67,56
193007,85,73,60
193008,84,71,58
193009,76,63,51
193010,56,47,38
193011,48,37,27
193012,30,23,16
193101,32,25,18
193102,38,30,23
193103,39,32,24
193104,60,48,35
193105,66,54,43
193106,82,71,60
193107,88,75,63
193108,83,70,57
193109,79,68,57
193110,63,54,45
193111,51,43,34
193112,38,32,26
193201,32,26,19
193202,37,27,17
193203,33,25,17
193204,55,44,33
193205,71,58,46
193206,81,70,58
193207,85,73,61
193208,82,70,58
193209,72,60,47
193210,57,47,38
193211,40,31,22
193212,30,22,14
193301,38,30,21
193302,29,19,9
193303,39,31,24
193304,53,44,34
193305,67,58,48
193306,87,75,62
193307,84,72,61
193308,80,68,56
193309,77,66,54
193310,58,47,37
193311,42,33,24
193312,31,23,15
193401,34,26,18
193402,28,18,8
193403,39,29,20
193404,56,45,34
193405,80,64,49
193406,86,73,60
193407,87,74,62
193408,80,68,56
193409,70,60,49
193410,63,52,41
193411,47,40,33
193412,26,19,12
193501,25,16,7
193502,30,23,16
193503,45,36,26
193504,53,43,34
193505,62,52,42
193506,73,63,53
193507,86,75,65
193508,80,70,60
193509,73,61,50
193510,60,49,38
193511,40,33,26
193512,26,20,14
193601,18,10,2
193602,15,5,-5
193603,43,35,26
193604,51,41,30
193605,75,63,50
193606,78,65,52
193607,92,77,62
193608,86,73,60
193609,73,63,53
193610,57,47,37
193611,41,32,23
193612,35,26,17
193701,27,17,7
193702,28,19,10
193703,37,29,21
193704,52,43,35
193705,69,58,47
193706,76,65,55
193707,85,73,61
193708,87,74,62
193709,75,62,49
193710,56,46,36
193711,41,32,23
193712,26,19,12
193801,25,17,10
193802,33,27,20
193803,50,40,29
193804,57,47,37
193805,67,57,46
193806,76,66,55
193807,82,72,61
193808,82,72,61
193809,70,61,51
193810,65,54,43
193811,46,37,28
193812,31,23,16
193901,32,25,18
193902,30,19,8
193903,43,32,22
193904,52,42,32
193905,74,62,49
193906,80,69,58
193907,86,73,61
193908,82,70,58
193909,79,66,52
193910,62,51,39
193911,46,36,27
193912,38,30,23
194001,18,10,2
194002,30,22,15
194003,34,26,18
194004,54,43,32
194005,65,54,44
194006,78,67,56
194007,84,72,61
194008,77,68,59
194009,72,61,50
194010,63,52,42
194011,40,32,24
194012,31,25,18
194101,29,21,14
194102,28,19,9
194103,36,27,18
194104,62,51,40
194105,74,61,49
194106,78,67,57
194107,84,72,60
194108,83,71,58
194109,75,64,53
194110,61,51,42
194111,46,38,30
194112,37,30,23
194201,26,18,10
194202,27,20,12
194203,44,36,28
194204,64,51,38
194205,67,56,45
194206,77,67,57
194207,82,71,60
194208,79,69,58
194209,68,59,49
194210,61,50,38
194211,44,36,27
194212,25,17,10
194301,24,15,5
194302,32,21,10
194303,38,27,17
194304,55,44,33
194305,65,55,45
194306,80,70,60
194307,84,73,62
194308,81,71,60
194309,68,57,47
194310,60,49,38
194311,39,31,23
194312,33,24,15
194401,36,26,16
194402,32,23,14
194403,36,28,20
194404,52,42,32
194405,73,62,51
194406,80,70,59
194407,82,70,59
194408,83,71,59
194409,73,63,53
194410,62,49,37
194411,46,39,32
194412,26,18,10
194501,22,14,5
194502,30,21,12
194503,55,44,33
194504,58,47,36
194505,63,52,41
194506,72,62,52
194507,80,69,57
194508,80,69,58
194509,70,60,50
194510,58,47,36
194511,43,35,26
194512,24,16,9
194601,30,21,12
194602,32,22,12
194603,52,41,31
194604,62,49,36
194605,67,55,43
194606,77,66,55
194607,84,71,59
194608,79,67,55
194609,73,61,49
194610,66,54,41
194611,46,37,27
194612,36,26,16
194701,31,22,14
194702,24,15,6
194703,37,29,21
194704,54,44,34
194705,62,52,41
194706,74,63,53
194707,81,70,59
194708,88,76,64
194709,74,63,52
194710,70,58,47
194711,36,29,22
194712,31,23,15
194801,22,13,3
194802,29,19,9
194803,41,31,20
194804,62,50,39
194805,66,55,43
194806,77,66,54
194807,84,73,61
194808,83,71,59
194809,77,65,52
194810,59,48,36
194811,45,38,32
194812,32,24,16
194901,29,20,11
194902,29,20,11
194903,41,32,23
194904,58,45,33
194905,71,59,46
194906,82,70,58
194907,84,74,63
194908,82,70,59
194909,67,56,45
194910,65,53,41
194911,45,36,27
194912,33,25,16
195001,31,21,10
195002,29,20,12
195003,35,27,19
195004,49,39,29
195005,69,57,45
195006,77,66,55
195007,79,68,57
195008,76,65,54
195009,70,60,49
195010,65,54,42
195011,39,30,21
195012,23,14,5
195101,23,13,4
195102,29,19,10
195103,36,28,20
195104,52,43,34
195105,72,60,48
195106,74,63,53
195107,81,69,58
195108,76,66,56
195109,68,58,47
195110,60,50,40
195111,35,27,18
195112,28,19,11
195201,28,19,10
195202,34,26,19
195203,36,28,21
195204,60,48,37
195205,68,57,46
195206,80,69,58
195207,84,73,62
195208,79,68,57
195209,74,61,48
195210,58,44,30
195211,47,37,27
195212,32,26,20
195301,30,22,14
195302,33,24,16
195303,42,33,25
195304,51,42,33
195305,69,57,45
195306,81,69,57
195307,83,72,61
195308,83,70,58
195309,74,62,49
195310,68,54,41
195311,49,39,29
195312,34,26,19
195401,28,19,9
195402,40,32,23
195403,39,30,21
195404,61,49,37
195405,64,52,41
195406,81,70,58
195407,82,71,61
195408,78,68,57
195409,73,62,51
195410,59,49,39
195411,45,37,28
195412,30,24,17
195501,26,18,10
195502,29,20,11
195503,41,30,20
195504,65,52,40
195505,72,60,47
195506,75,64,54
195507,88,76,65
195508,86,74,62
195509,76,62,49
195510,62,51,40
195511,39,30,21
195512,26,18,10
195601,29,20,11
195602,32,21,11
195603,38,29,20
195604,55,43,31
195605,68,56,44
195606,82,70,58
195607,79,69,58
195608,80,69,59
195609,71,59,47
195610,68,55,42
195611,43,35,27
195612,32,25,17
195701,21,12,2
195702,34,26,18
195703,42,32,23
195704,57,47,37
195705,65,55,45
195706,77,67,56
195707,83,72,61
195708,81,69,58
195709,70,59,48
195710,58,47,36
195711,41,34,27
195712,35,27,19
195801,27,19,11
195802,24,15,6
195803,40,32,24
195804,58,46,35
195805,73,58,44
195806,73,62,50
195807,80,69,58
195808,83,70,57
195809,73,62,50
195810,64,53,42
195811,46,37,28
195812,25,16,7
195901,20,10,0
195902,26,16,5
195903,38,29,19
195904,56,46,35
195905,74,62,51
195906,80,68,57
195907,81,70,58
195908,83,73,64
195909,74,63,52
195910,53,46,38
195911,35,27,18
195912,36,30,24
196001,28,21,14
196002,28,20,13
196003,31,20,9
196004,59,48,38
196005,65,55,45
196006,75,64,53
196007,81,69,57
196008,80,70,59
196009,74,64,53
196010,60,49,38
196011,46,37,29
196012,29,21,12
196101,27,17,7
196102,38,29,19
196103,42,34,27
196104,51,41,32
196105,67,54,42
196106,80,67,54
196107,82,70,59
196108,81,70,58
196109,73,62,52
196110,61,51,41
196111,43,35,27
196112,27,19,11
196201,20,12,4
196202,26,18,10
196203,37,29,21
196204,57,45,34
196205,73,62,51
196206,78,67,55
196207,78,67,57
196208,82,69,57
196209,69,58,46
196210,62,52,43
196211,44,36,27
196212,29,20,12
196301,14,6,-2
196302,24,14,3
196303,44,34,23
196304,61,48,36
196305,67,55,43
196306,82,69,56
196307,85,73,60
196308,79,68,56
196309,73,61,49
196310,71,59,47
196311,49,40,31
196312,21,12,3
196401,33,24,15
196402,35,24,14
196403,40,31,22
196404,57,47,37
196405,75,63,50
196406,80,68,56
196407,84,73,61
196408,79,67,55
196409,71,60,50
196410,60,47,35
196411,49,39,29
196412,27,19,12
196501,25,16,8
196502,28,18,9
196503,32,24,17
196504,53,43,34
196505,74,61,49
196506,78,66,53
196507,82,70,57
196508,78,67,57
196509,68,59,50
196510,60,50,40
196511,45,37,28
196512,37,30,23
196601,20,11,1
196602,30,21,12
196603,45,36,26
196604,53,43,33
196605,65,52,40
196606,79,67,55
196607,85,73,61
196608,79,67,55
196609,71,59,47
196610,61,49,37
196611,45,37,28
196612,30,22,15
196701,30,21,13
196702,26,15,5
196703,42,33,24
196704,57,46,36
196705,64,52,40
196706,78,68,57
196707,80,68,57
196708,76,64,53
196709,71,59,47
196710,58,48,39
196711,39,32,25
196712,32,25,18
196801,27,19,11
196802,28,18,9
196803,51,39,27
196804,60,48,36
196805,66,55,43
196806,78,67,56
196807,81,70,59
196808,81,70,58
196809,71,61,50
196810,61,51,41
196811,43,35,28
196812,30,22,14
196901,22,14,7
196902,31,23,16
196903,38,28,18
196904,59,47,36
196905,70,58,45
196906,71,60,50
196907,81,71,60
196908,83,71,58
196909,72,61,49
196910,57,47,37
196911,42,33,24
196912,29,22,15
197001,18,10,1
197002,30,20,9
197003,39,30,21
197004,58,47,36
197005,71,59,48
197006,78,67,56
197007,84,72,60
197008,83,70,57
197009,72,62,51
197010,61,51,42
197011,42,35,28
197012,31,22,13
197101,21,11,1
197102,27,19,11
197103,37,28,20
197104,58,46,33
197105,69,55,41
197106,83,71,59
197107,79,68,56
197108,80,67,55
197109,76,65,53
197110,68,57,46
197111,44,36,28
197112,33,27,20
197201,23,14,4
197202,26,17,8
197203,37,28,19
197204,53,42,31
197205,73,60,47
197206,78,65,52
197207,80,69,59
197208,79,69,60
197209,71,61,51
197210,56,46,37
197211,39,34,29
197212,26,18,11
197301,31,23,16
197302,32,24,17
197303,50,41,32
197304,53,44,36
197305,64,54,44
197306,80,69,58
197307,83,72,62
197308,82,71,60
197309,71,61,52
197310,65,55,44
197311,44,36,28
197312,29,22,15
