Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/27/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
6/27/2017,Epic: King's Cross,Epic: King's Cross,5.75,debit,Epic Meal,Bank of America ,,
6/26/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/26/2017,Epic: King's Cross,Epic: King's Cross,2.25,debit,Epic Meal,Bank of America ,,
6/26/2017,Epic: King's Cross,Epic: King's Cross,4,debit,Epic Meal,Bank of America ,,
6/23/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.25,debit,Epic Meal,Bank of America ,,
6/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.5,debit,Epic Meal,Bank of America ,,
6/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
6/22/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/22/2017,Epic: King's Cross,Epic: King's Cross,5.75,debit,Epic Meal,Bank of America ,,
6/21/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.5,debit,Epic Meal,Bank of America ,,
6/21/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
6/20/2017,Epic: King's Cross,Epic: King's Cross,5,debit,Epic Meal,Bank of America ,,
6/16/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
6/16/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
6/15/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
6/15/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/14/2017,Epic: Farmers' Market,Epic: Farmers' Market,0.75,debit,Epic Meal,Bank of America ,,
6/14/2017,Epic: King's Cross,Epic: King's Cross,3.25,debit,Epic Meal,Bank of America ,,
6/13/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/13/2017,Epic: King's Cross,Epic: King's Cross,4.5,debit,Epic Meal,Bank of America ,,
6/12/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
6/12/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/9/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
6/9/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/8/2017,Epic: Farmers' Market,Epic: Farmers' Market,4.25,debit,Epic Meal,Bank of America ,,
6/8/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/7/2017,Epic: King's Cross,Epic: King's Cross,3.75,debit,Epic Meal,Bank of America ,,
6/6/2017,Epic: King's Cross,Epic: King's Cross,4.75,debit,Epic Meal,Bank of America ,,
6/5/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.5,debit,Epic Meal,Bank of America ,,
6/5/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/2/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.5,debit,Epic Meal,Bank of America ,,
6/2/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
6/1/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
5/31/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
5/31/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.75,debit,Epic Meal,Bank of America ,,
5/31/2017,Epic: Farmers' Market,Epic: Farmers' Market,3,debit,Epic Meal,Bank of America ,,
5/30/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
5/30/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
5/24/2017,Epic: King's Cross,Epic: King's Cross,4.5,debit,Epic Meal,Bank of America ,,
5/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
5/23/2017,Epic: King's Cross,Epic: King's Cross,4.25,debit,Epic Meal,Bank of America ,,
5/22/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
5/22/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
5/19/2017,Epic: Cassiopeia,Epic: Cassiopeia,2,debit,Epic Meal,Bank of America ,,
5/19/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
