Date,Time Spent (seconds),Number of People,Category
2018-08-10T00:00:00,1659,1,Reference & Learning
2018-08-10T00:00:00,144,1,Communication & Scheduling
2018-08-10T01:00:00,2812,1,Reference & Learning
2018-08-10T01:00:00,89,1,Social Networking
2018-08-10T01:00:00,60,1,Communication & Scheduling
2018-08-10T13:00:00,146,1,Software Development
2018-08-10T13:00:00,20,1,Utilities
2018-08-10T13:00:00,12,1,Communication & Scheduling
2018-08-10T13:00:00,5,1,Reference & Learning
2018-08-10T14:00:00,2244,1,Software Development
2018-08-10T14:00:00,200,1,Communication & Scheduling
2018-08-10T14:00:00,179,1,Reference & Learning
2018-08-10T14:00:00,78,1,Utilities
2018-08-10T14:00:00,42,1,Uncategorized
2018-08-10T14:00:00,1,1,Business
2018-08-10T15:00:00,178,1,Reference & Learning
2018-08-10T15:00:00,67,1,Communication & Scheduling
2018-08-10T15:00:00,31,1,Utilities
2018-08-10T16:00:00,20,1,Utilities
Date,Time Spent (seconds),Number of People,Category
2018-08-13T11:00:00,383,1,Business
2018-08-13T11:00:00,27,1,Reference & Learning
2018-08-13T11:00:00,24,1,Utilities
2018-08-13T11:00:00,16,1,Communication & Scheduling
2018-08-13T12:00:00,689,1,Business
2018-08-13T12:00:00,444,1,Communication & Scheduling
2018-08-13T12:00:00,251,1,Reference & Learning
2018-08-13T12:00:00,85,1,Social Networking
2018-08-13T12:00:00,43,1,Utilities
2018-08-13T12:00:00,39,1,Software Development
2018-08-13T12:00:00,19,1,Uncategorized
2018-08-13T13:00:00,942,1,Software Development
2018-08-13T13:00:00,587,1,Communication & Scheduling
2018-08-13T13:00:00,567,1,Social Networking
2018-08-13T13:00:00,495,1,Reference & Learning
2018-08-13T13:00:00,129,1,Utilities
2018-08-13T13:00:00,1,1,Business
2018-08-13T14:00:00,31,1,Utilities
2018-08-13T14:00:00,12,1,Reference & Learning
2018-08-13T16:00:00,1146,1,Software Development
2018-08-13T16:00:00,486,1,Reference & Learning
2018-08-13T16:00:00,135,1,Uncategorized
2018-08-13T16:00:00,65,1,Utilities
2018-08-13T16:00:00,36,1,Social Networking
2018-08-13T16:00:00,5,1,Communication & Scheduling
2018-08-13T17:00:00,645,1,Software Development
2018-08-13T17:00:00,194,1,Reference & Learning
2018-08-13T17:00:00,107,1,Communication & Scheduling
2018-08-13T17:00:00,83,1,Utilities
2018-08-13T17:00:00,7,1,Business
2018-08-13T17:00:00,1,1,Social Networking
2018-08-13T17:00:00,1,1,Uncategorized
2018-08-13T20:00:00,256,1,Social Networking
2018-08-13T20:00:00,77,1,Communication & Scheduling
2018-08-13T20:00:00,69,1,Utilities
2018-08-13T20:00:00,52,1,Entertainment
2018-08-13T21:00:00,131,1,Reference & Learning
2018-08-13T21:00:00,11,1,Social Networking
2018-08-13T21:00:00,8,1,Communication & Scheduling
2018-08-13T22:00:00,740,1,Reference & Learning
2018-08-13T22:00:00,208,1,Software Development
2018-08-13T22:00:00,186,1,Social Networking
2018-08-13T22:00:00,159,1,Entertainment
2018-08-13T22:00:00,74,1,Utilities
2018-08-13T22:00:00,33,1,Communication & Scheduling
2018-08-13T22:00:00,4,1,Shopping
2018-08-14T00:00:00,683,1,Reference & Learning
2018-08-14T00:00:00,498,1,Social Networking
2018-08-14T00:00:00,179,1,News & Opinion
2018-08-14T00:00:00,77,1,Utilities
2018-08-14T00:00:00,49,1,Entertainment
2018-08-14T00:00:00,1,1,Software Development
2018-08-14T01:00:00,1498,1,Reference & Learning
2018-08-14T12:00:00,141,1,Software Development
2018-08-14T12:00:00,32,1,Utilities
2018-08-14T12:00:00,4,1,Reference & Learning
2018-08-14T17:00:00,61,1,Reference & Learning
2018-08-14T17:00:00,49,1,Utilities
2018-08-14T17:00:00,22,1,Software Development
2018-08-14T19:00:00,10,1,Reference & Learning
2018-08-14T19:00:00,5,1,Utilities
2018-08-14T20:00:00,611,1,Communication & Scheduling
